³¯Â¥,USA,EUR,JPY,CNY
2020-05-01,"1,219.00","1,344.56","1,144.55",172.06
2020-05-02,"1,219.00","1,344.56","1,144.55",172.06
2020-05-03,"1,219.00","1,344.56","1,144.55",172.06
2020-05-04,"1,225.50","1,339.84","1,147.10",172.02
2020-05-05,"1,225.50","1,339.84","1,147.10",172.02
2020-05-06,"1,225.50","1,323.85","1,153.30",172.13
2020-05-07,"1,224.00","1,320.33","1,148.54",172.19
2020-05-08,"1,221.00","1,323.99","1,147.99",172.32
2020-05-09,"1,221.00","1,323.99","1,147.99",172.32
2020-05-10,"1,221.00","1,323.99","1,147.99",172.32
2020-05-11,"1,224.00","1,324.43","1,140.99",172.32
2020-05-12,"1,224.00","1,326.33","1,139.40",172.49
2020-05-13,"1,224.50","1,329.38","1,144.13",172.28
2020-05-14,"1,228.50","1,325.80","1,147.97",172.58
2020-05-15,"1,230.50","1,329.86","1,150.00",172.69
2020-05-16,"1,230.50","1,329.86","1,150.00",172.69
2020-05-17,"1,230.50","1,329.86","1,150.00",172.69
2020-05-18,"1,234.50","1,334.93","1,151.00",172.94
2020-05-19,"1,226.00","1,343.02","1,139.56",172.16
2020-05-20,"1,229.00","1,345.20","1,141.98",172.82
2020-05-21,"1,230.50","1,352.50","1,142.26",172.94
2020-05-22,"1,240.50","1,352.83","1,154.65",173.46
2020-05-23,"1,240.50","1,352.83","1,154.65",173.46
2020-05-24,"1,240.50","1,352.83","1,154.65",173.46
2020-05-25,"1,242.00","1,353.22","1,153.15",173.61
2020-05-26,"1,234.00","1,351.85","1,146.36",172.73
2020-05-27,"1,234.50","1,360.11","1,145.97",172.13
2020-05-28,"1,240.00","1,364.56","1,150.65",172.83
2020-05-29,"1,238.00","1,377.89","1,154.47",172.88
2020-05-30,"1,238.00","1,377.89","1,154.47",172.88
2020-05-31,"1,238.00","1,377.89","1,154.47",172.88
2020-06-01,"1,228.00","1,363.82","1,140.10",171.88
2020-06-02,"1,222.50","1,365.23","1,134.31",171.87
2020-06-03,"1,217.00","1,363.83","1,119.13",171.06
2020-06-04,"1,219.50","1,366.51","1,119.94",171.16
2020-06-05,"1,209.00","1,370.04","1,106.48",170.46
2020-06-06,"1,209.00","1,370.04","1,106.48",170.46
2020-06-07,"1,209.00","1,370.04","1,106.48",170.46
