날짜,title,category,summary,img
2020-05-01,"지성호 “김정은, 지난 주말 수술 쇼크로 사망했다”",정치,탈북민 출신 인권운동가 지성호 미래한국당 국회의원 당선인이 김정은 북한 국무위원장의 사망설을 강하게 제기하며 후임으로 김 위원장의 여동생인 김여정이 유력하다는 관측을 내놨다.김 위원장이 20일 가까이 공식 석상에 모습을 드러내지 않자 건강이상설을 넘어 사망설까지 나오는 상황이어서 주목된다.,https://imgnews.pstatic.net/image/005/2020/05/01/611116110014535978_1_20200501113603896.jpg?type=w647
2020-05-01,"지성호 ""김정은 지난 주말 사망.. 99% 확신"" 주장",정치,탈북자 출신 인권운동가 지성호 미래한국당 비례대표 당선자는 1일 김정은이 사망한 것으로 보인다.99% 확신한다고 주장했다.지 당선자는 이날 본지 통화에서 북한 내부 소식통을 통해 확인한 결과 김정은이 지난 주말 사망한 것으로 알고 있다며 심혈관 쪽 수술을 했는데 수술 후 쇼크 상태에서 사망한 것 같다고 했다.,https://imgnews.pstatic.net/image/023/2020/05/01/2020050100569_0_20200501101306826.jpg?type=w647
2020-05-01,"[인터뷰] ""김정은 사망 99% 확신"" 지성호 주장 이유는?",정치," 오늘 우리 지성호 당선인, 또 미래통합당의 태구민, 태영호 당선인이 대한민국 국회의원에 당선됐다는 전단 50만 장을 대형 풍선을 매달아서 북한으로 날려 보냈다.",https://imgnews.pstatic.net/image/055/2020/05/01/0000811740_002_20200501171049309.jpg?type=w647
2020-05-01,"휴가 취소하고 걸어서 곰탕집 간 文 ""식당 이용 활발했으면""",정치,"문재인 대통령이 1일 참모진들과 청와대 주변 한 곰탕집을 찾아 오찬을 했다.문 대통령은 소상공인과 자영업자들이 어려운 상황이라 가급적 주변 식당을 이용해달라고 독려하기 위한 것이라고 말했다고 강민석 청와대 대변인은 전했다.문 대통령은 또 금요일에는 청와대 구내식당 문을 닫는 조치를 이미 취했는데, 코로나19로 음식점을 적극적으로 이용하기 어려운 상황이었다.그러나 국내 확진자가 제로인 상황이 됐으니 거리 두기를 하면서 식당 이용도 좀 활발했으면 한다고 말했다고 한다.",https://imgnews.pstatic.net/image/025/2020/05/01/0002997511_001_20200502032306051.jpg?type=w647
2020-05-01,"지성호 ""김정은 사망 99% 확신"", 청와대 ""특이동향 없다""(종합)",정치,탈북자 출신으로 4·15 총선에서 미래한국당 비례대표로 당선된 지성호 당선인은 1일 북한 김정은 국무위원장의 건강 이상설과 관련해 김 위원장의 사망을 99% 확신한다고 주장했다.지 당선인은 이날 연합뉴스와의 통화에서 김 위원장이 심혈관질환 수술 후 얼마나 버틸 수 있을까 싶었는데 지난 주말에 사망한 것으로 확인했다며 이같이 말했다.,https://imgnews.pstatic.net/image/001/2020/05/01/PYH2020040704040006200_P4_20200501162011442.jpg?type=w647
2020-05-01,"""'전 국민 재난지원금', 이렇게 신청하면 됩니다""",경제,"오는 13일부터 전 국민에게 긴급 재난지원금을 나눠준다는데, 이게 그냥 가만히 있어도 통장에 넣어준다는 건지, 아니면 따로 신청을 해야 하는 건지 궁금해하시는 분들 많습니다.신용카드 또는 체크카드 포인트로 지원금을 받으려면 세대주가 오는 11일부터 자신이 이용하는 카드사 홈페이지에서 온라인 접수를 하면 됩니다.신청 후 이틀 뒤, 그러니까 이르면 5월 13일부터 카드 결제 시 이 재난지원금 포인트에서 돈이 빠져나가게 됩니다.",https://imgnews.pstatic.net/image/055/2020/05/01/0000811630_002_20200501082921848.jpg?type=w647
2020-05-01,[팩플]천하의 넷플릭스도 떤다…천만 관객 모은 '포트나이트',경제,"미국 유명 래퍼 트래비스 스콧이 지난 24일 연 콘서트에 1230만 명이 몰렸다.포트나이트는 지난해 매출은 18억 달러로, 전 세계 게임 매출 1위를 차지했다.포트나이트는 게임인 동시에 가상현실 세계다.",https://imgnews.pstatic.net/image/025/2020/05/01/0002997407_001_20200501140808126.jpg?type=w647
2020-05-01,"[단독] 긴급재난지원금, 직장인 10명 중 4명 기부해도 혜택 `0`원",경제,"전국민에게 긴급재난지원금을 지급하는 대신 기부금으로 재원을 충당하겠다는 안을 정부가 꺼냈지만, 직장인 10명 중 4명은 기부를 해도 혜택을 전혀 못 받는것으로 나타났다.하지만 납부할 세액이 없는 사람들의 경우 기부를 해도 한푼도 돌려받지 못한다.소득공제나 세액공제 모두 비환급성으로 내가 납부할 세금이 없으면 공제의 혜택이 돌아오지 않기 때문이다.",
2020-05-01,"전국민 코로나19 항체 형성 확인…""상당수 감염 모른 채 회복했을 것""",경제,방역당국이 국내에도 감염된 사실조차 모른채 회복한 사람들이 적지 않을 것이라고 예상했다.정은경 중앙방역대책본부 본부장은 1일 충북 오송 질병관리본부에서 열린 정례브리핑에서 일반 인구를 대상으로 항체 양성을 확인하는 면역도 조사를 기획 중이라며 이같이 밝혔다.방역당국은 국내에서 코로나19가 얼마나 전파·확산했는지를 파악하고자 인구면역도 조사를 시행할 계획이다.,https://imgnews.pstatic.net/image/016/2020/05/01/20200501000100_0_20200501154305347.jpg?type=w647
2020-05-01,"위기 몰린 日 아베가 내민 손, 잡아주는 한국",경제,일본이 결국 코로나19와 관련 한국과의 협력요청을 내비친 가운데 우리 방역당국과 외교부는 협력하겠다는 입장을 밝혔다.외교부 당국자는 최근 아베 신조 일본 총리가 코로나19 대응과 관련 한국과 협력하기를 희망한다는 입장을 밝힌 것에 대해 아베 총리의 국회 답변 중 관련 발언에 대해 인지하고 있다며 이같이 말했다.외교부 당국자는 일본은 우리의 가까운 이웃이라며 우리 정부는 코로나19 대응 등 필요한 분야에서 일본과 협력해 나가고자 한다고 밝혔다.,https://imgnews.pstatic.net/image/008/2020/05/01/0004402866_001_20200501193703006.jpg?type=w647
2020-05-01,"부모가 내 건보 얹혀있어도, 주소 다르면 재난지원금 각각 받아",사회,이달 11일부터 긴급재난지원금 신청을 받는다.카드사 재난지원금 신청 단계부터 기부할 수 있다.기부 신청을 하면 전액이 기부된다.,https://imgnews.pstatic.net/image/025/2020/05/01/0002997394_001_20200501143105968.jpg?type=w647
2020-05-01,‘모친·아들 시신’ 장롱에 넣고 여성과 수일간 생활한 용의자,사회,서울 동작구 상도동의 한 주택에서 할머니와 초등학생 손주의 시신이 발견된 사건을 수사하던 경찰이 유력 용의자인 40대 남성을 검거했다.숨진 할머니의 아들이자 아이의 아빠인 이 남성은 어머니와 아들을 살해한 뒤 시신을 장롱 속에 넣어둔 채 범행 장소에서 한 여성과 수일간 생활해왔던 것으로 전해져 충격을 주고 있다.,https://imgnews.pstatic.net/image/005/2020/05/01/611212110014535861_1_20200501054103687.jpg?type=w647
2020-05-01,'사람 가리며 덤빈다'···정은경도 혀내두른 '두얼굴의 코로나',사회,야누스. 신종 코로나바이러스 감염증에 대한 방역 당국의 설명을 들어보면 떠오르는 단어다.보건당국은 최근 신규 환자가 안정적 수준에서 관리되고 있지만 주목할 만한 연쇄감염에 긴장을 늦추지 못하고 있다.정은경 중앙방역대책본부 본부장은 이날 브리핑에서  접촉자 자가격리 해제를 위한 검사에서 1명이 추가로 확진됐다며 긴급돌봄 교사에게 감염된 소아의 부모로 가족 4명이 모두 코로나19로 확인됐다고 말했다.,https://imgnews.pstatic.net/image/025/2020/05/01/0002997503_001_20200502032205749.jpg?type=w647
