,날짜,노래,가수,좋아요 수
0,2020-05-01,Toxic,"Glaceo, Cristina Lizzul",481718
1,2020-05-01,Wasted Summer,"teamwork, Loote, John K",283256
2,2020-05-01,Lie To Me,"Marphil, Yann Muller, Sylow",182396
3,2020-05-01,Freedom,"Kygo, Zak Abel",181091
4,2020-05-01,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),95193
5,2020-05-02,Toxic,"Glaceo, Cristina Lizzul",481718
6,2020-05-02,Wasted Summer,"teamwork, Loote, John K",283256
7,2020-05-02,Lie To Me,"Marphil, Yann Muller, Sylow",182396
8,2020-05-02,Freedom,"Kygo, Zak Abel",181091
9,2020-05-02,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),95193
10,2020-05-03,Toxic,"Glaceo, Cristina Lizzul",481718
11,2020-05-03,Wasted Summer,"teamwork, Loote, John K",283256
12,2020-05-03,Lie To Me,"Marphil, Yann Muller, Sylow",182396
13,2020-05-03,Freedom,"Kygo, Zak Abel",181091
14,2020-05-03,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),95193
15,2020-05-04,Toxic,"Glaceo, Cristina Lizzul",481718
16,2020-05-04,Wasted Summer,"teamwork, Loote, John K",283256
17,2020-05-04,Lie To Me,"Marphil, Yann Muller, Sylow",182396
18,2020-05-04,Freedom,"Kygo, Zak Abel",181091
19,2020-05-04,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),95193
20,2020-05-05,Plastic Heart,Land of Peace,183543
21,2020-05-05,Inn,주영,28655
22,2020-05-05,Outro,Tom Misch,25391
23,2020-05-05,Comfortable,Lauv,6547
24,2020-05-05,Slide,James Bay,4738
25,2020-05-06,Plastic Heart,Land of Peace,183543
26,2020-05-06,Inn,주영,28655
27,2020-05-06,Outro,Tom Misch,25391
28,2020-05-06,Comfortable,Lauv,6547
29,2020-05-06,Slide,James Bay,4738
30,2020-05-07,Toxic,"Glaceo, Cristina Lizzul",481718
31,2020-05-07,Wasted Summer,"teamwork, Loote, John K",283256
32,2020-05-07,Lie To Me,"Marphil, Yann Muller, Sylow",182396
33,2020-05-07,Freedom,"Kygo, Zak Abel",181091
34,2020-05-07,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),95193
35,2020-05-08,사랑은 언제나 목마르다,유미,4836
36,2020-05-08,내 입술... 따뜻한 커피처럼,샵,3972
37,2020-05-08,오늘 헤어졌어요,윤하 (YOUNHA),2428
38,2020-05-08,희재,성시경,1391
39,2020-05-08,이별살이,린,1190
40,2020-05-09,사랑은 언제나 목마르다,유미,4836
41,2020-05-09,내 입술... 따뜻한 커피처럼,샵,3972
42,2020-05-09,오늘 헤어졌어요,윤하 (YOUNHA),2428
43,2020-05-09,희재,성시경,1391
44,2020-05-09,이별살이,린,1190
45,2020-05-10,사랑은 언제나 목마르다,유미,4836
46,2020-05-10,내 입술... 따뜻한 커피처럼,샵,3972
47,2020-05-10,오늘 헤어졌어요,윤하 (YOUNHA),2428
48,2020-05-10,희재,성시경,1391
49,2020-05-10,이별살이,린,1190
50,2020-05-11,사랑은 언제나 목마르다,유미,4836
51,2020-05-11,내 입술... 따뜻한 커피처럼,샵,3972
52,2020-05-11,오늘 헤어졌어요,윤하 (YOUNHA),2428
53,2020-05-11,희재,성시경,1391
54,2020-05-11,이별살이,린,1190
55,2020-05-12,사랑은 언제나 목마르다,유미,4836
56,2020-05-12,내 입술... 따뜻한 커피처럼,샵,3972
57,2020-05-12,오늘 헤어졌어요,윤하 (YOUNHA),2428
58,2020-05-12,희재,성시경,1391
59,2020-05-12,이별살이,린,1190
60,2020-05-13,Plastic Heart,Land of Peace,183543
61,2020-05-13,Inn,주영,28655
62,2020-05-13,Outro,Tom Misch,25391
63,2020-05-13,Comfortable,Lauv,6547
64,2020-05-13,Slide,James Bay,4738
65,2020-05-14,Plastic Heart,Land of Peace,183543
66,2020-05-14,Inn,주영,28655
67,2020-05-14,Outro,Tom Misch,25391
68,2020-05-14,Comfortable,Lauv,6547
69,2020-05-14,Slide,James Bay,4738
